amfi_code,alpha,beta
100016,0.00024908837369904736,-1.8726318241626976e-07
100025,0.00018511152074453672,-2.623297429204913e-08
100033,0.0006981363244942249,6.649259906737665e-07
101206,0.00011085988852030143,1.2907882037441702e-06
101207,0.0016881114193992481,-2.201495733885038e-06
101208,0.00024658755272598335,-8.78269523854279e-09
102885,0.0004896096637368186,3.215140915550162e-07
102886,0.0006806265595347451,-9.944457093990203e-07
102887,-2.8916356099632345e-05,1.1746638508890266e-06
118632,0.0010733996500267816,-3.6267186882465725e-07
118633,0.00023199232379427312,6.695495134547336e-07
118634,0.0009587308018673029,-4.3836484279964495e-07
118635,0.0002858615418466366,5.481052753116748e-07
118636,0.00017411699296915372,4.7763623945128083e-08
119092,0.0006525728496834913,-6.578291287760343e-07
119093,-0.000375910686423626,1.2295632940673163e-06
119094,0.0007908503437234593,4.108841681767334e-07
119095,0.0018437942471372013,-2.8944757373256117e-06
119120,0.0002890971379127918,-1.1642653651922308e-07
119551,6.449769256158724e-07,1.5960858112702327e-06
119552,0.0011955928058522737,-7.148958411450969e-07
119598,0.0013769202474584908,-3.0645385097635046e-07
119599,0.0005423877275538393,-5.942000030504245e-07
120503,0.0011402842394715694,-7.712348972825687e-07
120504,0.0008493526812111385,-1.0986532356981004e-08
120505,0.0015129690572256503,-6.126284320335778e-07
120506,0.00034859480938451414,5.252868772859111e-07
120507,0.00026084797516377507,1.1854644974827053e-08
120841,0.0002927135015775988,3.9948041314255717e-07
120842,-1.3645809702225145e-06,5.457651029938948e-07
120843,0.0010835642217261192,-3.152103974021315e-09
120844,0.0002686259756841683,-2.177217019369903e-08
125497,0.00045384942200499273,4.454232597692976e-07
125498,2.8991057403711525e-05,7.802655147516406e-07
148567,0.001060103501429076,2.3644428606280816e-08
148568,0.0012440267464497079,-7.298858412956533e-07
148569,0.0010535994999358851,1.2274308255185974e-07
149322,0.00016986301141182485,6.139165843338267e-07
149323,0.0011136093586103359,-1.0177402974900873e-07
149324,0.0007257520587480122,8.160618271436379e-07
